name,add,Latitude,Longitude,Document
Taylor Creek Park,260 Dawes Rd,43.70098817000,-79.31597714700,Water Fountains
Topham Park,181 Westview Blvd,43.70980109100,-79.30712160100,Water Fountains
Berczy Park,35 Wellington St E,43.64788509200,-79.37531697900,Water Fountains
Cawthra Square Park,519 Church St,43.66671922700,-79.38065004100,Water Fountains
Chorley Park,245 Douglas Dr,43.68506923900,-79.37066096100,Water Fountains
Craigleigh Gardens,160 South Dr,43.67732821200,-79.37346278500,Water Fountains
David A. Balfour Park,75 Rosehill Ave,43.68632605400,-79.38687930600,Water Fountains
David Crombie Park,131 The Esplanade,43.64886139400,-79.36686442000,Water Fountains
David Crombie Park,131 The Esplanade,43.64844413300,-79.36942399400,Water Fountains
Varna Park,215 Ranee Ave,43.72352415100,-79.44559325500,Water Fountains
Goulding Park,80 Patricia Ave,43.78966145900,-79.42231364500,Water Fountains
Hendon Park,50 Hendon Ave,43.78094664800,-79.42122039500,Water Fountains
Goulding Park,80 Patricia Ave,43.79075636900,-79.42158102400,Water Fountains
Goulding Park,80 Patricia Ave,43.79158092600,-79.42253691400,Water Fountains
Frank Stollery Parkette,1 Davenport Rd,43.67271147600,-79.38822551800,Water Fountains
Merrill Bridge Road Park,1 East Lynn Ave,43.68166229600,-79.31425229700,Water Fountains
Ryerson Community Park,50 Gould St,43.65886263000,-79.37978319600,Water Fountains
Wychwood Barns Park,76 Wychwood Ave,43.68001226000,-79.42313688600,Water Fountains
Wychwood Barns Park,76 Wychwood Ave,43.67950008800,-79.42419101800,Water Fountains
Yorkminster Park,54 Yorkminster Rd,43.75522650500,-79.40213789700,Water Fountains
Woodbine Beach Park,1675 Lake Shore Blvd E,43.66196393700,-79.30974030900,Water Fountains
Leonard Linton Park,135 Vanderhoof Ave,43.71341449500,-79.35425047600,Water Fountains
Debell Lane Parkette,5 Debell Lane,43.80035232000,-79.39720365600,Water Fountains
Cresthaven Park,37 Cresthaven Dr,43.79813468000,-79.36326892600,Water Fountains
Oriole Park - North York,2955 Don Mills Rd,43.78121094100,-79.35050049500,Water Fountains
Mcnicoll Park,215 Mcnicoll Ave,43.79810206600,-79.35428849500,Water Fountains
Alexander The Great Parkette,0,43.67821646700,-79.34948427400,Water Fountains
Ravina Gardens,290 Clendenan Ave,43.65895917700,-79.47156904900,Water Fountains
James Trimbee Park,25 Plainfield Rd,43.69925989900,-79.50520702900,Water Fountains
Sonya's Parkette,63 Oxford St,43.65603320700,-79.40203963800,Water Fountains
Baird Park,275 Keele St,43.66234269500,-79.46248245300,Water Fountains
Riverdale Park West,375 Sumach St,43.66635402900,-79.36165704900,Water Fountains
Stadium Road Park,10 Stadium Rd,43.63412418000,-79.40130743600,Water Fountains
Havenbrook Park,15 Havenbrook Blvd,43.76838351300,-79.35649479100,Water Fountains
Spenvalley Park,130 Spenvalley Dr,43.74415519000,-79.50679179600,Water Fountains
Rosetta Mcclain Gardens,5 Glen Everest Rd,43.69684177900,-79.25585428300,Water Fountains
Horseley Hill Park,145 Horseley Hill Dr,43.81025132800,-79.22906922700,Water Fountains
High Park,1873 Bloor St W,43.64393666700,-79.46477237700,Water Fountains
Humewood Park,27 Humewood Dr,43.68366498000,-79.42597325500,Water Fountains
Trinity Bellwoods Park,790 Queen St W,43.64695611900,-79.41472478500,Water Fountains
Lanyard Park,138 Lanyard Rd,43.74701194200,-79.54860217700,Water Fountains
Lawrence Park And Ravine,51 Alexander Muir Rd,43.72362301900,-79.40164764400,Water Fountains
Symington Avenue Playground,360 Symington Ave,43.66670024100,-79.45278137600,Water Fountains
Amesbury Park,151 Culford Rd,43.70695235600,-79.48279162200,Water Fountains
Ashbridges Bay Park,1561 Lake Shore Blvd E,43.65877374600,-79.30884840300,Water Fountains
Alexander Street Parkette,16 Alexander St,43.66322512400,-79.38279961500,Water Fountains
David A. Balfour Park,75 Rosehill Ave,43.68589124600,-79.38762025900,Water Fountains
Joseph Sheard Parkette,11 Granby St,43.66046162100,-79.38188459900,Water Fountains
Hto Park,333 Queens QuayW,43.63771559200,-79.38750991300,Water Fountains
Cummer Park,823 Cummer Ave,43.79958482500,-79.37219395100,Water Fountains
Seneca Hill Park,620 Seneca Hill Dr,43.79100793600,-79.35164857400,Water Fountains
Albert Standing Park,50 Bogert Ave,43.76052706100,-79.41305038500,Water Fountains
Tournament Park,40 Tournament Dr,43.75094406000,-79.40056880000,Water Fountains
Brookbanks Park,75 Brookbanks Dr,43.75772784100,-79.33291850900,Water Fountains
Robert Hicks Park,39 Robert Hicks Dr,43.77244200500,-79.45357173800,Water Fountains
Roding Park,600 Roding St,43.72903918300,-79.49233598100,Water Fountains
David Crombie Park,131 The Esplanade,43.64927197300,-79.36472369800,Water Fountains
Island Park,9 Queens QuayW,43.61746342900,-79.37322930600,Water Fountains
Olympic Island Park,9 Queens QuayW,43.62286571900,-79.37525957700,Water Fountains
Lissom Park,338 Homewood Ave,43.78562263900,-79.44152974400,Water Fountains
Edithvale Park,136 Holcolm Rd,43.77687180600,-79.42486682600,Water Fountains
Rennie Park,1 Rennie Ter,43.64506395100,-79.47406086200,Water Fountains
Fennimore Park,78 Fennimore Cres,43.74539427900,-79.52189381200,Water Fountains
Centennial Park - Etobicoke,256 Centennial Park Rd,43.65380928900,-79.59197182700,Water Fountains
Gulliver Park,55 Gulliver Rd,43.69864152800,-79.47957362400,Water Fountains
Noble Park,70 Sandcliffe Rd,43.67722378100,-79.50055773000,Water Fountains
Kirkwood Park,25 Kirkwood Rd,43.75623653800,-79.36134098200,Water Fountains
Redpath Avenue Parkette,130 Erskine Ave,43.71244014900,-79.39455878100,Water Fountains
Fenside Park,30 Slidell Cres,43.76512329400,-79.32695590200,Water Fountains
Godstone Park,45 Godstone Rd,43.78307135600,-79.34763032100,Water Fountains
Scarborough Bluffs Park,61 Undercliff Dr,43.70520922400,-79.24200502200,Water Fountains
Royal Rouge Tot Lot,45 Royal Rouge Trl,43.80071891500,-79.14676920400,Water Fountains
Bluffer's Park,1 Brimley Rd S,43.71302659700,-79.22734771300,Water Fountains
Goldhawk Park,250 Goldhawk Trl,43.82286323700,-79.27989388700,Water Fountains
Ancona Park,15 Ancona St,43.77649249100,-79.43780339200,Water Fountains
Florence Gell Park,85 Varsity Rd,43.66190391000,-79.49818183200,Water Fountains
Ellerslie Park,499 Ellerslie Ave,43.76553849100,-79.43987027400,Water Fountains
St. Jamestown West Park,589 Sherbourne St,43.67078817000,-79.37596871900,Water Fountains
High Park,1873 Bloor St W,43.65136110400,-79.46654962700,Water Fountains
High Park,1873 Bloor St W,43.64960615200,-79.46564593400,Water Fountains
High Park,1873 Bloor St W,43.64306533900,-79.46453173800,Water Fountains
High Park,1873 Bloor St W,43.65438104700,-79.46022464100,Water Fountains
Eglinton Flats,101 Emmett Ave,43.68582539200,-79.50617339800,Water Fountains
Oak Street Park,165 River St,43.66223577800,-79.35806180500,Water Fountains
Ontario Street Parkette,227 Ontario St,43.65749777400,-79.36786788600,Water Fountains
Toronto Music Garden,479 Queens QuayW,43.63703024100,-79.39424545700,Water Fountains
Jonathan Ashbridge Park,20 Woodward Ave,43.66442746800,-79.32006993500,Water Fountains
Maple Leaf Forever Park,60 Laing St,43.66300172500,-79.32774144700,Water Fountains
Coxwell Avenue Parkette,429 Coxwell Ave,43.67782207900,-79.32088169800,Water Fountains
East Toronto Athletic Field,175 Main St,43.68499496100,-79.29793299600,Water Fountains
Fairmount Park,1725 Gerrard St E,43.67523281700,-79.31581518600,Water Fountains
Felstead Avenue Playground,60 Felstead Ave,43.68027114300,-79.32975471600,Water Fountains
Gerrard - Carlaw Parkette,855 Gerrard St E,43.66744549600,-79.34300192000,Water Fountains
Greenwood Park,150 Greenwood Ave,43.66965844900,-79.32912297300,Water Fountains
Hideaway Park,23 Audley Ave,43.66479148300,-79.33776484300,Water Fountains
Kempton Howard Park,150 Blake St,43.67602394600,-79.34053690100,Water Fountains
Mccleary Park,755 Lake Shore Blvd E,43.65344216700,-79.34060046600,Water Fountains
Morse Street Playground,76 Morse St,43.65676570400,-79.33990778300,Water Fountains
Norwood Park,16 Norwood Rd,43.68222940000,-79.30512392300,Water Fountains
Oakcrest Parkette,30 Oakcrest Ave,43.68351858100,-79.31128693500,Water Fountains
Matty Eckler Playground,953 Gerrard St E,43.66790752000,-79.33856694100,Water Fountains
Phin Avenue Parkette,115 Condor Ave,43.67771397700,-79.33640094100,Water Fountains
Withrow Park,725 Logan Ave,43.67591663000,-79.34752703300,Water Fountains
Withrow Park,725 Logan Ave,43.67380678000,-79.34640206400,Water Fountains
Ben Nobleman Parkette,1075 Eglinton Ave W,43.69821818200,-79.43560681500,Water Fountains
Cawthra Playground,355 Albany Ave,43.67591296300,-79.41417236900,Water Fountains
Graham Park,138 Arlington Ave,43.68144939100,-79.43037097500,Water Fountains
Laughlin Park,420 Atlas Ave,43.69290236800,-79.43635424400,Water Fountains
Lionel Conacher Park,80 Cottingham St,43.68058965800,-79.39467946500,Water Fountains
Oriole Park - Toronto,201 Oriole Pkwy,43.69754304500,-79.40067751600,Water Fountains
Pottery Playground,601 Merton St,43.69960032500,-79.37848938300,Water Fountains
Tichester Park,21 Tichester Rd,43.68540614700,-79.41806957500,Water Fountains
Cedarvale Park,443 Arlington Ave,43.69280656400,-79.43243953000,Water Fountains
Hillcrest Park,950 Davenport Rd,43.67601611800,-79.42493955300,Water Fountains
Lawton Parkette,1600 Yonge St,43.69141653000,-79.39538289200,Water Fountains
Sir Winston Churchill Park,301 St Clair Ave W,43.68352877600,-79.40925170000,Water Fountains
Beaches Park,77 Kewbeach Ave,43.66605534000,-79.29924395000,Water Fountains
Madelaine Park,20 Madelaine Ave,43.69263423900,-79.28540211200,Water Fountains
Etobicoke Valley Park,615 Horner Ave,43.60428949700,-79.55692432400,Water Fountains
Ledbury Park,160 Ledbury St,43.72694948700,-79.42537500500,Water Fountains
James Gardens,61 Edgehill Rd,43.67136484200,-79.51600324500,Water Fountains
Len Braithwaite Park,490 Silverstone Dr,43.73942882200,-79.59610010800,Water Fountains
Bestview Park,115 Bestview Dr,43.80271589700,-79.38370480000,Water Fountains
Esther Shiner Stadium,5720 Bathurst St,43.77613042800,-79.44568139800,Water Fountains
Port Union Community Recreation Centre,5450 Lawrence Ave E,43.78067645000,-79.14001830100,Water Fountains
Sir Casimir Gzowski Park,2001 Lake Shore Blvd W,43.63380531700,-79.46874057700,Water Fountains
Pearen Park,30 Pearen St,43.68694711900,-79.49248940800,Water Fountains
Sunnylea Park,195 Prince Edward Dr S,43.64146113900,-79.50098571500,Water Fountains
Jean Sibelius Square,50 Kendal Ave,43.67111000300,-79.40896549600,Water Fountains
Kew Gardens,2075 Queen St E,43.66803631800,-79.29785043100,Water Fountains
Four Oaks Gate Park,388 O'connor Dr,43.69621507800,-79.33732366200,Water Fountains
Queen's Park,110 Wellesley St W,43.66488295700,-79.39247178900,Water Fountains
Stafford Park,100 Stafford Rd,43.77123396100,-79.43885880200,Water Fountains
Ashtonbee Reservoir Park,21 Ashtonbee Rd,43.72966255000,-79.29431449500,Water Fountains
Riverdale Park East,550 Broadview Ave,43.67246700000,-79.35595020400,Water Fountains
Moss Park,150 Sherbourne St,43.65520612600,-79.37189883300,Water Fountains
Viewmount Park,169 Viewmount Ave,43.70764797100,-79.43724699500,Water Fountains
Casa Loma Parkette,330 Walmer Rd,43.67901105200,-79.41061318500,Water Fountains
East York Civic Centre,850 Coxwell Ave,43.69098863300,-79.32751672200,Water Fountains
Mel Lastman Square,5100 Yonge St,43.76789379300,-79.41366563000,Water Fountains
Mount Dennis Community Hall,4 Hollis St,43.68757746500,-79.48965745500,Water Fountains
Snake Island,9 Queens QuayW,43.62355522200,-79.36376534400,Water Fountains
Stephenson Park,61 Stephenson Ave,43.68642464800,-79.30334365900,Water Fountains
Clanton Park,10 Palm Dr,43.74633132100,-79.43753254500,Water Fountains
Scarden Park,1649 Warden Ave,43.77453307300,-79.30558161000,Water Fountains
Vine Avenue Playground,200 Vine Ave,43.66674028900,-79.47012410700,Water Fountains
Ivan Forrest Gardens,131 Glen Manor Dr,43.67174231300,-79.29265938900,Water Fountains
Kay Gardner Beltline Park,378 Mount Pleasant Rd,43.69580596300,-79.39499989500,Water Fountains
Jay Macpherson Green,255 Avenue Rd,43.67751622500,-79.39749950900,Water Fountains
Westmount Park,22 Arcade Dr,43.68783911600,-79.51842609400,Water Fountains
Jonathan Ashbridge Park,20 Woodward Ave,43.66538785000,-79.31986149700,Water Fountains
Island Park,9 Queens QuayW,43.61775364600,-79.37612154200,Water Fountains
Olympic Island Park,9 Queens QuayW,43.62242283600,-79.37658679800,Water Fountains
Hidden Trail Park,506 Hidden Trl,43.78388535700,-79.45891690500,Water Fountains
Fairfield Park,90 Lothian Ave,43.63811309600,-79.52001322700,Water Fountains
Island Park,9 Queens QuayW,43.61897086000,-79.36800413400,Water Fountains
Clarence Square Park,25 Clarence Sq,43.64418113100,-79.39371285700,Water Fountains
Joseph Workman Park,90 Shank St,43.64183366300,-79.41705641400,Water Fountains
West Lodge Park,165 Lansdowne Ave,43.64573782700,-79.43830978100,Water Fountains
Allan Gardens,160 Gerrard St E,43.66119842100,-79.37598519000,Water Fountains
Moorevale Park,175 Moore Ave,43.69354651900,-79.38204465600,Water Fountains
Toronto Music Garden,479 Queens QuayW,43.63742884900,-79.39209066200,Water Fountains
Broadlands Park,19 Castlegrove Blvd,43.74568697000,-79.32148626000,Water Fountains
Chater Court Park,1 Chater Crt,43.71419493000,-79.43671683100,Water Fountains
Thomson Memorial Park,1005 Brimley Rd,43.75766411700,-79.25482710100,Water Fountains
Clairlea Park,45 Fairfax Cres,43.71427116200,-79.28825606300,Water Fountains
High Park,1873 Bloor St W,43.64625552300,-79.46381288400,Water Fountains
Monarch Park,115 Felstead Ave,43.67865280700,-79.32722395300,Water Fountains
Frankel - Lambert Park,340 Christie St,43.67226512100,-79.42423909600,Water Fountains
Etienne Brule Park,10 Catherine St,43.65792270000,-79.49899844900,Water Fountains
Silverview Park,23 Silverview Dr,43.78549322700,-79.41163960100,Water Fountains
Wychwood Barns Park,76 Wychwood Ave,43.67976732900,-79.42361352100,Water Fountains
